ZipCode,CAAGI,Population,CAAGI_per_capita
90604,1090308031,40110,27182.947668910496
90605,1137544450,40189,28304.87073577347
90606,723988769,32078,22569.635544610013
90620,1427847675,46564,30664.19712653552
90621,895659540,36972,24225.34728984096
90623,610922841,15906,38408.32648057337
90630,1960800595,49965,39243.48233763634
90631,2269446560,69533,32638.4099636144
90638,1559131903,46967,33196.32727234015
90639,845930,1511,559.8477829252151
90640,1406820204,62678,22445.199336290247
90650,2275143164,102891,22112.168838868318
90660,1369255286,62013,22080.13297211875
90670,594538593,17761,33474.38730927313
90680,599729928,30045,19961.056015976035
90701,394443298,16434,24001.66106851649
90703,2210439365,49735,44444.34231426561
90704,82623811,3715,22240.595154777926
90706,1681394852,79179,21235.363568622994
90710,677917770,26605,25480.84081939485
90712,1213405951,32332,37529.5667140913
90713,1117119095,28755,38849.55990262563
90715,518550671,20999,24694.065003095384
90716,220908272,14098,15669.475954036034
90717,668976485,22044,30347.3273906732
90720,1416178060,22955,61693.66412546286
90723,940715968,53770,17495.182592523714
90731,1554082029,61270,25364.485539415702
90732,966815302,21397,45184.619432630745
90740,1366563247,24769,55172.32213654165
90742,60292684,748,80605.19251336898
90743,34712101,466,74489.48712446351
90744,924429717,53074,17417.751008026527
90745,1504276497,59937,25097.627458831772
90746,796114505,27147,29326.058312152356
90747,358243,22,16283.772727272728
90755,477686267,11923,40064.26796947077
90802,1261833171,41686,30269.95084680708
90803,2252916437,32192,69983.7362388171
90804,856631957,39370,21758.49522479045
90805,1655240718,95350,17359.629973780808
90806,821361061,41611,19739.036817187764
90807,1438352050,32412,44377.14581019375
90808,1879778706,39747,47293.59966789946
90810,749050234,38529,19441.206208310625
90813,689450202,54565,12635.39268762027
90814,874504858,19042,45925.052935616004
90815,1836172421,41837,43888.72101250089
91001,1879800593,36578,51391.5630433594
91006,1881071577,31949,58877.3225140067
91007,1592188694,33804,47100.600343154656
91008,193521326,1010,191605.27326732673
91010,707302938,26730,26461.015263748595
91011,3129023504,20588,151982.8785700408
91016,1493402263,41852,35682.9366099589
91020,277054317,8439,32830.23071453964
91024,830837573,11268,73734.25390486333
91030,1882880310,26927,69925.36524677832
91040,682888656,21588,31632.789327404113
91042,843370682,28036,30081.705022114424
91046,19150338,141,135818.0
91101,964106137,20583,46839.92309187193
91103,1143350960,26887,42524.303938706435
91104,1352514674,34707,38969.506842999974
91105,1771130505,13869,127704.26887302617
91106,1636123016,24172,67686.70428595069
91107,1989560677,33729,58986.64878887604
91108,2086506374,12777,163301.74328872192
91125,5087380,161,31598.63354037267
91201,659284983,22608,29161.579219745225
91202,953887847,22875,41700.01516939891
91203,470418057,16930,27786.06361488482
91204,359349705,17302,20769.25817824529
91205,735902236,36693,20055.657373340964
91206,1235588087,33252,37158.30888367617
91207,671152721,10369,64726.85128749156
91208,1040709068,16776,62035.59060562708
91210,23599974,555,42522.475675675676
91214,1505083350,31097,48399.63179727948
91301,1896511892,24790,76503.10173457039
91302,4268751462,25468,167612.35519082771
91303,573780425,28457,20163.067962188565
91304,1482593272,52386,28301.326155843166
91306,1114735608,46669,23885.997300134994
91307,1306697714,24855,52572.830979682156
91311,1727297304,39014,44273.781309273596
91316,1916953408,28777,66614.08096743928
91320,2480571110,44462,55790.81260402141
91321,1043223805,33560,31085.333879618593
91324,979114184,29500,33190.3113220339
91325,1124239281,35250,31893.312936170212
91326,2065946640,38041,54308.4209142767
91330,1180450,2273,519.3356797184338
91331,1701107147,100720,16889.46730540111
91335,1641181285,76650,21411.367058056097
91340,638248281,34610,18441.152297023982
91342,2173048088,96429,22535.213348681413
91343,1388275154,62595,22178.69085390207
91344,1990878302,52481,37935.220403574625
91345,475752746,18895,25178.764011643292
91350,1864390512,41514,44909.922243098714
91351,963273766,34684,27772.856821589205
91352,1018912303,47274,21553.333819858697
91354,1637469183,33962,48214.745391908604
91355,1539541736,32886,46814.502706318795
91356,1837922230,30664,59937.458583355074
91360,2055594914,43046,47753.447800027876
91361,3032792608,20262,149678.8376270852
91362,3204515783,35803,89504.1137055554
91364,2012295662,27071,74333.99807912526
91367,2347931855,46498,50495.33001419416
91377,987124138,13898,71026.34465390704
91381,1317988048,20862,63176.49544626594
91384,873929702,28585,30573.0173867413
91387,1631965197,45749,35672.15014535837
91390,893188862,20128,44375.44028219396
91401,1140233906,39621,28778.524166477375
91402,1106692522,70140,15778.336498431709
91403,2005953271,25329,79195.91262979194
91405,963910588,55319,17424.58446465048
91406,1485762126,53252,27900.588259595883
91411,622268885,24984,24906.695685238552
91423,2322823774,32635,71175.84721924315
91436,4485876256,15189,295337.1687405359
91501,785849272,21157,37143.70052464905
91502,394523348,11665,33821.11855979425
91504,1283826611,26678,48123.0456181123
91505,1585129738,32371,48967.58635816008
91506,836444835,19338,43253.947409246044
91601,1072818399,39429,27208.86654492886
91602,1093266094,19647,55645.44683666718
91604,2482450764,30947,80216.2007302808
91605,986754083,54341,18158.555841813733
91606,863845703,43955,19652.9565009669
91607,1257924794,30502,41240.731558586325
91701,1520681319,38778,39215.05283923874
91702,1434125984,62328,23009.33744063663
91706,1371344573,73313,18705.339748748516
91708,464556494,14381,32303.490299700996
91709,3532544455,78530,44983.37520692729
91710,2269434756,82576,27482.98241619841
91711,1885767670,38122,49466.65101516185
91722,908847165,36111,25168.152778931628
91723,517764148,19653,26345.298325955326
91724,944705264,27180,34757.36806475349
91730,1856844433,68883,26956.49772803159
91731,498140097,28197,17666.42185338866
91732,982957423,60137,16345.301943894774
91733,666563334,41990,15874.335175041677
91737,1195954689,24568,48679.36702214262
91739,1768469026,42411,41698.357171488526
91740,837464075,26644,31431.61968923585
91741,1461132200,26999,54118.01177821401
91744,1543071905,81817,18860.040150579953
91745,1796214255,54280,33091.64065954311
91746,739616857,29509,25064.111186417704
91748,1333533509,44737,29808.290877796902
91750,1490587063,33376,44660.446518456374
91752,1038634402,38610,26900.65791245791
91754,1062589207,33300,31909.585795795796
91755,670090792,27637,24246.14799001339
91759,18170610,432,42061.59722222222
91761,1555284909,60306,25789.886727688787
91762,1455256125,62524,23275.160338430043
91763,821530979,37631,21831.229013313492
91764,1096403916,55322,19818.587831242545
91765,2165867675,46449,46628.940881396804
91766,1414835231,70701,20011.530685563146
91767,1019663257,51654,19740.25742440082
91768,578512987,35568,16264.985014619882
91770,1203511938,59360,20274.796799191376
91773,1355408027,34592,39182.701983117484
91775,988568980,24252,40762.369289130795
91776,847718272,38031,22290.19147537535
91780,1121561628,35751,31371.475706973233
91784,1446938896,26718,54155.958380118274
91786,1376642663,55763,24687.38523752309
91789,2161155198,41235,52410.699599854495
91790,1174748273,46364,25337.509123457854
91791,1251245801,34267,36514.600081711265
91792,737101209,30683,24023.11406968028
91801,1457943106,53669,27165.460619724607
91803,823039467,29374,28019.318683189216
91901,760427000,17688,42991.12392582542
91902,742320824,17902,41465.80404424087
91905,29879111,1799,16608.733185102836
91906,88331241,3904,22625.830174180326
91910,2140987381,79613,26892.43441397762
91911,1892169382,85442,22145.658832892488
91913,1835759391,55923,32826.55420846521
91914,866422791,17522,49447.71093482479
91915,1116306662,33218,33605.47480281775
91916,80301923,1720,46687.16453488372
91917,21994192,1126,19533.03019538188
91931,8336093,481,17330.754677754678
91932,540674172,26013,20784.768077499713
91934,9832197,693,14187.87445887446
91935,480195430,8841,54314.60581382197
91941,1429732375,33895,42181.2177312288
91942,1267525689,40813,31056.910518707275
91945,622358257,27814,22375.719314014525
91948,2696344,87,30992.459770114943
91950,1053489296,57849,18211.02000034573
91962,69727401,1860,37487.85
91963,25324015,1101,23000.921889191643
91977,1421413814,60795,23380.439411135783
91978,278213439,9949,27963.96009649211
91980,31885870,145,219902.55172413794
92003,285541082,4781,59724.13344488601
92004,67883051,3414,19883.72905682484
92007,930940410,10981,84777.3800200346
92008,1556136781,27282,57038.95539183344
92009,3568320495,44816,79621.57477240272
92010,945685455,18887,50070.70762958649
92011,1627011474,23757,68485.56105568886
92014,2174590622,13203,164704.28099674315
92019,1572354395,45108,34857.55065620289
92020,1631059549,60454,26980.175819631455
92021,1666309588,70584,23607.468944803353
92024,4500781519,51190,87923.06151592107
92025,1419673567,51586,27520.520431900128
92026,1706767680,52797,32326.982214898573
92027,1455542007,56840,25607.70596410978
92028,1646927957,51614,31908.55111016391
92029,1262959267,21236,59472.55919193822
92036,101104605,3735,27069.506024096387
92037,5216830726,41260,126437.97203102279
92040,1335829439,43640,30610.20712648946
92054,1183506611,38667,30607.66573564021
92055,11226155,9684,1159.2477282114828
92056,1797942195,53750,33450.08734883721
92057,854791870,57844,14777.537341815918
92058,611916971,45389,13481.613849170504
92059,36215103,1872,19345.67467948718
92060,8870433,288,30800.114583333332
92061,92993541,2246,41404.06990204808
92064,2917038691,48884,59672.66776450372
92065,1360492188,37047,36723.41047858126
92066,7101669,330,21520.20909090909
92067,3824429839,9344,409292.576947774
92069,1510282223,49407,30568.18311170482
92070,41943317,1093,38374.48947849954
92071,1917668253,60163,31874.54503598557
92075,1495083066,12051,124062.98780184217
92078,2191347652,52347,41861.952967696336
92081,1073854430,28745,37357.95547051661
92082,699442021,20860,33530.29822627037
92083,847318697,39219,21604.80116780132
92084,1475475086,49941,29544.364069602132
92086,25603609,1490,17183.630201342283
92091,222724181,1571,141772.23488224062
92092,22926856,5251,4366.188535517044
92093,3969213,5076,781.9568557919622
92101,2288589461,47505,48175.7596253026
92102,873295444,39783,21951.472840157858
92103,1932078501,33311,58001.215844615894
92104,1733091961,44265,39152.647938551905
92105,1067501925,66579,16033.613076195197
92106,1313393878,20214,64974.46710200851
92107,1398740631,28684,48763.7927415981
92108,1121522553,24266,46217.8584439133
92109,2473066966,44671,55361.7999597054
92110,1054687534,31048,33969.580456068026
92111,1385551128,46686,29678.08610718417
92113,685730407,50457,13590.391957508373
92114,1393780182,66248,21038.826560801837
92115,1403709687,64251,21847.2815520381
92116,1384433814,31523,43918.212543222406
92117,2075528458,51505,40297.61106688671
92118,1065509308,20629,51651.040186145714
92119,1002613888,24298,41263.2269322578
92120,1414502579,30768,45973.17274440978
92121,467198037,4658,100300.13675397166
92122,2183405987,45646,47833.45719230601
92123,1087187408,30937,35141.97911885445
