Zip Code,2019,2020,2021,2022,2023,2024,2025
90504,3910.637509219499,5987.320876184336,7659.455535298881,10545.236317964303,15291.941156741075,23760.494107740542,33739.362234714434
90505,5564.502453806336,7208.994587920924,9178.560748546533,12792.619043286732,19045.51355323406,28128.464293983234,36044.97293960462
90601,3772.301752073192,5673.787188077566,6961.89022537085,10458.169898024053,14199.802530161689,22235.111953276944,29626.369857745554
90602,2269.6765859522275,2269.6765859522275,3091.4560394866544,5635.059109950357,10683.132895947552,17100.839104502124,23753.339442637964
90603,1813.9079274367296,2393.3507375901295,2997.9867134023725,4559.962984250667,6751.768396570049,10807.868067643847,14687.615579105743
90604,2207.266140920501,3752.352439564852,5554.953121316595,8203.672490421195,13648.262304691765,21116.179414806127,30055.607285534155
90605,2932.3575004036106,4204.223404193129,5864.715000807221,7737.184248052899,11588.11156786005,18442.055604948007,24907.37394921139
90606,1727.9853687896089,2348.2878088679304,3411.663420430766,5582.72196070489,7709.473183830563,12627.58538730868,19761.063448209374
90620,5152.58884320416,7565.826655844084,9946.453146691576,15522.989173197344,25893.389503190527,41448.9899981803,55406.635725340944
90621,4169.1868765223,7966.8620511762765,11558.141835903407,17750.003533708805,29597.098915509796,53373.84783508251,74591.29391956235
90623,2889.9983459613354,4426.1235929137565,5259.276269226934,7550.446129088174,11247.5611302279,18121.070709811615,25619.444796630218
90630,8179.702230251516,12409.704006643266,13913.138372951178,19162.417685822867,30094.169264570224,51575.44334588495,69056.05309651593
90631,7292.021892773717,11397.614050890012,14400.211300855659,21600.316951283487,33978.37092052963,53219.504318268686,72154.25024152144
90638,5362.038955083841,7651.448846018515,9639.620593409152,14670.297590594553,23195.337052890773,38709.101445408625,53138.40852116795
90639,0.0,0.0,0.0,1786.1998037662688,1786.1998037662688,3572.3996075325376,3572.3996075325376
90640,3965.2131694861555,6326.519888393641,8910.59139210372,12875.804561589875,21697.290039772557,36622.530621546284,54666.47819055633
90650,6150.459549718252,9542.257095518758,12572.262903100544,21526.608424013877,32968.27214518092,56756.078933061806,79775.0782772279
90660,2989.112433486709,4302.510320927839,5615.908208368969,8922.047718134572,14673.824673480207,24999.84944370702,37997.959571141655
90670,2718.4963584020857,3226.3473264552226,4720.026644258566,6512.441825622579,8842.581561395795,12935.26289217696,16729.208359397453
90680,2805.462794913247,4258.291742279035,5360.437840280667,9668.827132468867,15780.72822138701,28054.627949132464,40478.82032660541
90701,1541.5599734692412,2916.464814671537,3666.41290987279,5457.955581742449,8957.713359348294,15332.27216855894,20956.882882568334
90703,9607.522077403828,15570.035778837117,18832.543275847787,26010.059769271254,38947.58949879631,60952.640064840685,76230.17517153201
90704,4945.910810141642,1303.9219408555239,1348.8847664022662,1393.8475919490083,1348.8847664022662,1393.8475919490083,1483.7732430424926
90706,4191.1220268206225,6639.867480693345,9276.977969479354,16246.48426127095,25288.005937108697,41581.58145710797,58204.79578820549
90710,2786.4072658841797,3335.839684509229,4356.214176241464,7456.5828241971,12322.984246304683,19426.360515671393,28138.78886815432
90712,3144.1876454090343,4689.635810101611,5808.753446603132,8793.067143940521,13269.537689946603,20543.80232720649,27631.547358382788
90713,2316.62855964341,3140.3187141832896,3989.7491860525397,6074.714889731609,9935.762489137293,14569.019608424112,19820.044343615842
90715,1538.8312938852605,2794.19366521271,3158.653708501324,5061.945045675199,8180.103193811121,13566.012722409534,19073.40893210415
90716,574.3650921319958,893.4568099831046,1148.7301842639915,1723.0952763959874,2999.4621478004224,5296.922516328406,8870.749756260826
90717,2306.628161974931,3459.9422429623964,4250.786184210944,5832.47406670804,8073.198566912259,12917.117707059613,18123.506986945886
90720,3825.352300684562,5559.72813192714,6499.857087180125,8542.206196867646,12156.839938616193,16695.393515699572,21444.665651718966
90723,2629.295222083442,3772.467057771895,3943.9428331251625,6744.713830561872,10574.33948011819,17547.687677817754,27950.551382582675
90731,6386.882941041974,7648.489447914463,9974.576444960614,14666.17564239268,21092.483786774417,29214.075674766063,41041.63667669565
90732,2146.7481903798,3032.005176103429,3718.0793400392417,5178.753366483229,8542.729912233019,13212.460511925161,18524.002426266936
90740,5781.884605301404,5183.758611649534,6235.0103580679715,7920.638158359604,11799.394602041422,16421.277280260412,19937.53312172898
90742,161.2799324044025,173.686081050895,248.12297292985,322.559864808805,421.809053980745,645.11972961761,781.5873647290275
90743,93.9729923002932,107.39770548604939,161.09655822907408,241.64483734361113,402.7413955726852,443.0155351299537,456.4402483157099
90744,2640.9839007804208,2181.6823528186083,2985.4600617517794,5224.555108065614,8382.253250303074,14180.935293320954,22448.36315663357
90745,2948.4858726739785,5020.39486428272,7132.1482595762445,13547.097252826388,21794.88881557657,35063.07524260948,51000.83671652287
90746,2182.359433333023,3307.6385161453627,4739.8118942701585,7638.25801666558,12548.566741664881,19607.13553385138,29018.560590100038
90747,0.0,0.0,0.0,0.0,0.0,0.0,61.41083007902457
90755,2171.511034877626,3095.0272221244327,3843.824130702925,4942.059596618045,7013.731043685206,10757.715586577666,15100.737656332918
90802,4030.3996731751795,5417.914314760077,8259.015723719629,13478.713661110436,18335.01490665758,26924.391259325992,38255.76083226932
90803,6387.198283821655,6230.018907709713,7858.9688055971155,10188.08137889226,13317.37986693911,17003.950688473757,21590.730664104078
90804,3538.847664073312,5101.4557235342545,6480.227540705675,8916.05775104185,11765.519506529452,17924.033623228464,26104.746405112222
90805,4032.344013422222,7258.21922416,10311.279691465395,15553.326908914283,25922.21151485714,42915.66128570793,63883.85015550349
90806,4356.848857240872,9574.935279285171,10385.511810864868,12411.953139814112,16971.446129949905,24367.956980614643,34854.79085792698
90807,5453.257427484461,7120.782425971444,8382.69323563727,11221.992557385378,15278.134445596961,21948.234439544893,27964.844907058745
